"GEOID","NAME","variable","estimate","moe"
"060371011101","Block Group 1, Census Tract 1011.10, Los Angeles County, California","B19013_001",63242,15324
"060371011102","Block Group 2, Census Tract 1011.10, Los Angeles County, California","B19013_001",56250,34507
"060371011103","Block Group 3, Census Tract 1011.10, Los Angeles County, California","B19013_001",99567,20675
"060371011221","Block Group 1, Census Tract 1011.22, Los Angeles County, California","B19013_001",120833,36975
"060371011222","Block Group 2, Census Tract 1011.22, Los Angeles County, California","B19013_001",90536,38822
"060371012201","Block Group 1, Census Tract 1012.20, Los Angeles County, California","B19013_001",55781,24817
"060371012202","Block Group 2, Census Tract 1012.20, Los Angeles County, California","B19013_001",59647,11236
"060371012211","Block Group 1, Census Tract 1012.21, Los Angeles County, California","B19013_001",52411,44796
"060371012212","Block Group 2, Census Tract 1012.21, Los Angeles County, California","B19013_001",44398,26924
"060371012221","Block Group 1, Census Tract 1012.22, Los Angeles County, California","B19013_001",32106,11016
"060371013001","Block Group 1, Census Tract 1013, Los Angeles County, California","B19013_001",100781,37735
"060371013002","Block Group 2, Census Tract 1013, Los Angeles County, California","B19013_001",111804,28671
"060371013003","Block Group 3, Census Tract 1013, Los Angeles County, California","B19013_001",101424,60192
"060371013004","Block Group 4, Census Tract 1013, Los Angeles County, California","B19013_001",127031,38223
"060371014001","Block Group 1, Census Tract 1014, Los Angeles County, California","B19013_001",55703,40811
"060371014002","Block Group 2, Census Tract 1014, Los Angeles County, California","B19013_001",96484,35652
"060371014003","Block Group 3, Census Tract 1014, Los Angeles County, California","B19013_001",66500,43877
"060371021031","Block Group 1, Census Tract 1021.03, Los Angeles County, California","B19013_001",65481,25558
"060371021041","Block Group 1, Census Tract 1021.04, Los Angeles County, California","B19013_001",92165,20976
"060371021042","Block Group 2, Census Tract 1021.04, Los Angeles County, California","B19013_001",83958,51887
"060371021051","Block Group 1, Census Tract 1021.05, Los Angeles County, California","B19013_001",84821,20220
"060371021052","Block Group 2, Census Tract 1021.05, Los Angeles County, California","B19013_001",83250,36662
"060371021071","Block Group 1, Census Tract 1021.07, Los Angeles County, California","B19013_001",97083,25164
"060371021072","Block Group 2, Census Tract 1021.07, Los Angeles County, California","B19013_001",NA,NA
"060371031011","Block Group 1, Census Tract 1031.01, Los Angeles County, California","B19013_001",121818,23631
"060371031012","Block Group 2, Census Tract 1031.01, Los Angeles County, California","B19013_001",117292,87027
"060371031021","Block Group 1, Census Tract 1031.02, Los Angeles County, California","B19013_001",61042,50391
"060371031022","Block Group 2, Census Tract 1031.02, Los Angeles County, California","B19013_001",75074,37704
"060371031023","Block Group 3, Census Tract 1031.02, Los Angeles County, California","B19013_001",88792,17624
"060371031024","Block Group 4, Census Tract 1031.02, Los Angeles County, California","B19013_001",73229,39157
"060371031025","Block Group 5, Census Tract 1031.02, Los Angeles County, California","B19013_001",61296,17149
"060371032011","Block Group 1, Census Tract 1032.01, Los Angeles County, California","B19013_001",77765,35854
"060371032012","Block Group 2, Census Tract 1032.01, Los Angeles County, California","B19013_001",77269,43178
"060371032021","Block Group 1, Census Tract 1032.02, Los Angeles County, California","B19013_001",104747,9339
"060371033001","Block Group 1, Census Tract 1033, Los Angeles County, California","B19013_001",128942,24150
"060371033002","Block Group 2, Census Tract 1033, Los Angeles County, California","B19013_001",130962,43083
"060371034011","Block Group 1, Census Tract 1034.01, Los Angeles County, California","B19013_001",110323,34708
"060371034021","Block Group 1, Census Tract 1034.02, Los Angeles County, California","B19013_001",82813,55492
"060371034022","Block Group 2, Census Tract 1034.02, Los Angeles County, California","B19013_001",105179,81312
"060371034023","Block Group 3, Census Tract 1034.02, Los Angeles County, California","B19013_001",155847,91900
"060371034024","Block Group 4, Census Tract 1034.02, Los Angeles County, California","B19013_001",99854,53700
"060371041031","Block Group 1, Census Tract 1041.03, Los Angeles County, California","B19013_001",110469,37297
"060371041032","Block Group 2, Census Tract 1041.03, Los Angeles County, California","B19013_001",100568,22608
"060371041051","Block Group 1, Census Tract 1041.05, Los Angeles County, California","B19013_001",97623,21038
"060371041052","Block Group 2, Census Tract 1041.05, Los Angeles County, California","B19013_001",31789,3975
"060371041053","Block Group 3, Census Tract 1041.05, Los Angeles County, California","B19013_001",61204,14412
"060371041081","Block Group 1, Census Tract 1041.08, Los Angeles County, California","B19013_001",53162,32385
"060371041082","Block Group 2, Census Tract 1041.08, Los Angeles County, California","B19013_001",49554,36079
"060371041083","Block Group 3, Census Tract 1041.08, Los Angeles County, California","B19013_001",128462,58929
"060371041241","Block Group 1, Census Tract 1041.24, Los Angeles County, California","B19013_001",37443,37187
"060371041242","Block Group 2, Census Tract 1041.24, Los Angeles County, California","B19013_001",84567,19873
"060371041243","Block Group 3, Census Tract 1041.24, Los Angeles County, California","B19013_001",105673,61005
"060371042011","Block Group 1, Census Tract 1042.01, Los Angeles County, California","B19013_001",78750,38681
"060371042012","Block Group 2, Census Tract 1042.01, Los Angeles County, California","B19013_001",86625,40177
"060371042013","Block Group 3, Census Tract 1042.01, Los Angeles County, California","B19013_001",87946,41221
"060371042031","Block Group 1, Census Tract 1042.03, Los Angeles County, California","B19013_001",55417,8660
"060371042032","Block Group 2, Census Tract 1042.03, Los Angeles County, California","B19013_001",57974,31400
"060371042041","Block Group 1, Census Tract 1042.04, Los Angeles County, California","B19013_001",38750,10228
"060371042042","Block Group 2, Census Tract 1042.04, Los Angeles County, California","B19013_001",85673,10058
"060371043101","Block Group 1, Census Tract 1043.10, Los Angeles County, California","B19013_001",97984,23685
"060371043102","Block Group 2, Census Tract 1043.10, Los Angeles County, California","B19013_001",58641,37524
"060371043103","Block Group 3, Census Tract 1043.10, Los Angeles County, California","B19013_001",86563,61056
"060371043211","Block Group 1, Census Tract 1043.21, Los Angeles County, California","B19013_001",38221,32787
"060371043212","Block Group 2, Census Tract 1043.21, Los Angeles County, California","B19013_001",NA,NA
"060371043213","Block Group 3, Census Tract 1043.21, Los Angeles County, California","B19013_001",NA,NA
"060371043221","Block Group 1, Census Tract 1043.22, Los Angeles County, California","B19013_001",44960,32312
"060371043222","Block Group 2, Census Tract 1043.22, Los Angeles County, California","B19013_001",NA,NA
"060371044011","Block Group 1, Census Tract 1044.01, Los Angeles County, California","B19013_001",67813,20542
"060371044012","Block Group 2, Census Tract 1044.01, Los Angeles County, California","B19013_001",66354,15854
"060371044031","Block Group 1, Census Tract 1044.03, Los Angeles County, California","B19013_001",86648,40544
"060371044032","Block Group 2, Census Tract 1044.03, Los Angeles County, California","B19013_001",57750,52535
"060371044041","Block Group 1, Census Tract 1044.04, Los Angeles County, California","B19013_001",73750,24915
"060371044042","Block Group 2, Census Tract 1044.04, Los Angeles County, California","B19013_001",61111,25552
"060371045001","Block Group 1, Census Tract 1045, Los Angeles County, California","B19013_001",59643,22134
"060371045002","Block Group 2, Census Tract 1045, Los Angeles County, California","B19013_001",81983,16625
"060371046101","Block Group 1, Census Tract 1046.10, Los Angeles County, California","B19013_001",56667,31532
"060371046102","Block Group 2, Census Tract 1046.10, Los Angeles County, California","B19013_001",85875,17648
"060371046201","Block Group 1, Census Tract 1046.20, Los Angeles County, California","B19013_001",78750,30655
"060371046202","Block Group 2, Census Tract 1046.20, Los Angeles County, California","B19013_001",75380,8148
"060371047011","Block Group 1, Census Tract 1047.01, Los Angeles County, California","B19013_001",88224,19980
"060371047012","Block Group 2, Census Tract 1047.01, Los Angeles County, California","B19013_001",35759,11551
"060371047013","Block Group 3, Census Tract 1047.01, Los Angeles County, California","B19013_001",70673,14391
"060371047031","Block Group 1, Census Tract 1047.03, Los Angeles County, California","B19013_001",63500,38164
"060371047032","Block Group 2, Census Tract 1047.03, Los Angeles County, California","B19013_001",50469,18805
"060371047041","Block Group 1, Census Tract 1047.04, Los Angeles County, California","B19013_001",45938,10932
"060371047042","Block Group 2, Census Tract 1047.04, Los Angeles County, California","B19013_001",71827,50306
"060371047043","Block Group 3, Census Tract 1047.04, Los Angeles County, California","B19013_001",35694,15491
"060371048211","Block Group 1, Census Tract 1048.21, Los Angeles County, California","B19013_001",74375,14999
"060371048212","Block Group 2, Census Tract 1048.21, Los Angeles County, California","B19013_001",83036,18533
"060371048221","Block Group 1, Census Tract 1048.22, Los Angeles County, California","B19013_001",56208,20736
"060371048231","Block Group 1, Census Tract 1048.23, Los Angeles County, California","B19013_001",84375,43928
"060371048232","Block Group 2, Census Tract 1048.23, Los Angeles County, California","B19013_001",86845,40406
"060371048241","Block Group 1, Census Tract 1048.24, Los Angeles County, California","B19013_001",NA,NA
"060371048242","Block Group 2, Census Tract 1048.24, Los Angeles County, California","B19013_001",81028,26433
"060371060101","Block Group 1, Census Tract 1060.10, Los Angeles County, California","B19013_001",94261,17732
"060371060102","Block Group 2, Census Tract 1060.10, Los Angeles County, California","B19013_001",111875,24888
"060371060201","Block Group 1, Census Tract 1060.20, Los Angeles County, California","B19013_001",114850,13623
"060371060202","Block Group 2, Census Tract 1060.20, Los Angeles County, California","B19013_001",121635,12508
"060371060203","Block Group 3, Census Tract 1060.20, Los Angeles County, California","B19013_001",51464,23796
"060371061111","Block Group 1, Census Tract 1061.11, Los Angeles County, California","B19013_001",98507,38382
"060371061112","Block Group 2, Census Tract 1061.11, Los Angeles County, California","B19013_001",116354,18821
"060371061121","Block Group 1, Census Tract 1061.12, Los Angeles County, California","B19013_001",101458,29313
"060371061122","Block Group 2, Census Tract 1061.12, Los Angeles County, California","B19013_001",97411,41208
"060371061123","Block Group 3, Census Tract 1061.12, Los Angeles County, California","B19013_001",107917,23236
"060371061131","Block Group 1, Census Tract 1061.13, Los Angeles County, California","B19013_001",97778,19006
"060371061132","Block Group 2, Census Tract 1061.13, Los Angeles County, California","B19013_001",135152,28910
"060371061141","Block Group 1, Census Tract 1061.14, Los Angeles County, California","B19013_001",50714,14849
"060371061142","Block Group 2, Census Tract 1061.14, Los Angeles County, California","B19013_001",47292,19707
"060371061143","Block Group 3, Census Tract 1061.14, Los Angeles County, California","B19013_001",98704,26077
"060371064031","Block Group 1, Census Tract 1064.03, Los Angeles County, California","B19013_001",120385,50756
"060371064032","Block Group 2, Census Tract 1064.03, Los Angeles County, California","B19013_001",90305,35549
"060371064033","Block Group 3, Census Tract 1064.03, Los Angeles County, California","B19013_001",72404,18774
"060371064051","Block Group 1, Census Tract 1064.05, Los Angeles County, California","B19013_001",85652,36350
"060371064052","Block Group 2, Census Tract 1064.05, Los Angeles County, California","B19013_001",73487,30210
"060371064053","Block Group 3, Census Tract 1064.05, Los Angeles County, California","B19013_001",83816,38989
"060371064061","Block Group 1, Census Tract 1064.06, Los Angeles County, California","B19013_001",91574,11113
"060371064062","Block Group 2, Census Tract 1064.06, Los Angeles County, California","B19013_001",90823,49755
"060371064063","Block Group 3, Census Tract 1064.06, Los Angeles County, California","B19013_001",102594,22003
"060371064071","Block Group 1, Census Tract 1064.07, Los Angeles County, California","B19013_001",32201,18955
"060371064072","Block Group 2, Census Tract 1064.07, Los Angeles County, California","B19013_001",51583,8933
"060371064081","Block Group 1, Census Tract 1064.08, Los Angeles County, California","B19013_001",62939,25222
"060371064082","Block Group 2, Census Tract 1064.08, Los Angeles County, California","B19013_001",55515,43570
"060371065101","Block Group 1, Census Tract 1065.10, Los Angeles County, California","B19013_001",74694,38633
"060371065102","Block Group 2, Census Tract 1065.10, Los Angeles County, California","B19013_001",66496,7772
"060371065103","Block Group 3, Census Tract 1065.10, Los Angeles County, California","B19013_001",106313,29870
"060371065201","Block Group 1, Census Tract 1065.20, Los Angeles County, California","B19013_001",68750,55035
"060371065202","Block Group 2, Census Tract 1065.20, Los Angeles County, California","B19013_001",100313,14571
"060371065203","Block Group 3, Census Tract 1065.20, Los Angeles County, California","B19013_001",66250,41936
"060371066031","Block Group 1, Census Tract 1066.03, Los Angeles County, California","B19013_001",109219,10212
"060371066032","Block Group 2, Census Tract 1066.03, Los Angeles County, California","B19013_001",167679,68163
"060371066041","Block Group 1, Census Tract 1066.04, Los Angeles County, California","B19013_001",60769,13215
"060371066042","Block Group 2, Census Tract 1066.04, Los Angeles County, California","B19013_001",74224,18679
"060371066043","Block Group 3, Census Tract 1066.04, Los Angeles County, California","B19013_001",51774,19409
"060371066411","Block Group 1, Census Tract 1066.41, Los Angeles County, California","B19013_001",102308,30024
"060371066421","Block Group 1, Census Tract 1066.42, Los Angeles County, California","B19013_001",137639,60907
"060371066422","Block Group 2, Census Tract 1066.42, Los Angeles County, California","B19013_001",152802,35636
"060371066423","Block Group 3, Census Tract 1066.42, Los Angeles County, California","B19013_001",NA,NA
"060371066431","Block Group 1, Census Tract 1066.43, Los Angeles County, California","B19013_001",206083,38974
"060371066432","Block Group 2, Census Tract 1066.43, Los Angeles County, California","B19013_001",173594,65475
"060371066433","Block Group 3, Census Tract 1066.43, Los Angeles County, California","B19013_001",154292,43442
"060371066451","Block Group 1, Census Tract 1066.45, Los Angeles County, California","B19013_001",NA,NA
"060371066452","Block Group 2, Census Tract 1066.45, Los Angeles County, California","B19013_001",141544,20826
"060371066461","Block Group 1, Census Tract 1066.46, Los Angeles County, California","B19013_001",114063,27728
"060371066462","Block Group 2, Census Tract 1066.46, Los Angeles County, California","B19013_001",116019,8623
"060371066481","Block Group 1, Census Tract 1066.48, Los Angeles County, California","B19013_001",77225,26514
"060371066482","Block Group 2, Census Tract 1066.48, Los Angeles County, California","B19013_001",27500,12546
"060371066491","Block Group 1, Census Tract 1066.49, Los Angeles County, California","B19013_001",71786,23198
"060371066492","Block Group 2, Census Tract 1066.49, Los Angeles County, California","B19013_001",98095,15292
"060371070101","Block Group 1, Census Tract 1070.10, Los Angeles County, California","B19013_001",87115,29234
"060371070102","Block Group 2, Census Tract 1070.10, Los Angeles County, California","B19013_001",78661,14709
"060371070201","Block Group 1, Census Tract 1070.20, Los Angeles County, California","B19013_001",78182,44364
"060371070202","Block Group 2, Census Tract 1070.20, Los Angeles County, California","B19013_001",81023,33421
"060371070203","Block Group 3, Census Tract 1070.20, Los Angeles County, California","B19013_001",89000,39657
"060371070204","Block Group 4, Census Tract 1070.20, Los Angeles County, California","B19013_001",82667,25994
"060371081011","Block Group 1, Census Tract 1081.01, Los Angeles County, California","B19013_001",133973,21454
"060371081021","Block Group 1, Census Tract 1081.02, Los Angeles County, California","B19013_001",98194,44483
"060371081022","Block Group 2, Census Tract 1081.02, Los Angeles County, California","B19013_001",124013,19691
"060371081023","Block Group 3, Census Tract 1081.02, Los Angeles County, California","B19013_001",113047,27564
"060371081031","Block Group 1, Census Tract 1081.03, Los Angeles County, California","B19013_001",130861,35886
"060371081032","Block Group 2, Census Tract 1081.03, Los Angeles County, California","B19013_001",161563,49373
"060371081041","Block Group 1, Census Tract 1081.04, Los Angeles County, California","B19013_001",151458,46653
"060371082021","Block Group 1, Census Tract 1082.02, Los Angeles County, California","B19013_001",75359,25154
"060371082022","Block Group 2, Census Tract 1082.02, Los Angeles County, California","B19013_001",245481,78108
"060371082023","Block Group 3, Census Tract 1082.02, Los Angeles County, California","B19013_001",196070,15456
"060371082031","Block Group 1, Census Tract 1082.03, Los Angeles County, California","B19013_001",115099,17622
"060371082032","Block Group 2, Census Tract 1082.03, Los Angeles County, California","B19013_001",153491,40583
"060371082041","Block Group 1, Census Tract 1082.04, Los Angeles County, California","B19013_001",133409,19132
"060371091001","Block Group 1, Census Tract 1091, Los Angeles County, California","B19013_001",62083,24627
"060371091002","Block Group 2, Census Tract 1091, Los Angeles County, California","B19013_001",56500,43985
"060371092001","Block Group 1, Census Tract 1092, Los Angeles County, California","B19013_001",106152,26182
"060371092002","Block Group 2, Census Tract 1092, Los Angeles County, California","B19013_001",121146,44396
"060371092003","Block Group 3, Census Tract 1092, Los Angeles County, California","B19013_001",120417,6894
"060371093001","Block Group 1, Census Tract 1093, Los Angeles County, California","B19013_001",103359,19825
"060371093002","Block Group 2, Census Tract 1093, Los Angeles County, California","B19013_001",100339,23923
"060371093003","Block Group 3, Census Tract 1093, Los Angeles County, California","B19013_001",125714,36758
"060371094001","Block Group 1, Census Tract 1094, Los Angeles County, California","B19013_001",89667,47905
"060371094002","Block Group 2, Census Tract 1094, Los Angeles County, California","B19013_001",142536,70276
"060371094003","Block Group 3, Census Tract 1094, Los Angeles County, California","B19013_001",50038,16809
"060371095001","Block Group 1, Census Tract 1095, Los Angeles County, California","B19013_001",43229,10218
"060371095002","Block Group 2, Census Tract 1095, Los Angeles County, California","B19013_001",72995,12600
"060371095003","Block Group 3, Census Tract 1095, Los Angeles County, California","B19013_001",53011,42392
"060371096011","Block Group 1, Census Tract 1096.01, Los Angeles County, California","B19013_001",138715,58265
"060371096012","Block Group 2, Census Tract 1096.01, Los Angeles County, California","B19013_001",133590,31655
"060371096013","Block Group 3, Census Tract 1096.01, Los Angeles County, California","B19013_001",87500,39760
"060371096014","Block Group 4, Census Tract 1096.01, Los Angeles County, California","B19013_001",77750,38734
"060371096031","Block Group 1, Census Tract 1096.03, Los Angeles County, California","B19013_001",63958,19208
"060371096032","Block Group 2, Census Tract 1096.03, Los Angeles County, California","B19013_001",55069,40672
"060371096033","Block Group 3, Census Tract 1096.03, Los Angeles County, California","B19013_001",76250,73802
"060371096041","Block Group 1, Census Tract 1096.04, Los Angeles County, California","B19013_001",56667,40301
"060371096042","Block Group 2, Census Tract 1096.04, Los Angeles County, California","B19013_001",130083,15383
"060371096043","Block Group 3, Census Tract 1096.04, Los Angeles County, California","B19013_001",94219,10102
"060371097001","Block Group 1, Census Tract 1097, Los Angeles County, California","B19013_001",139200,34472
"060371097002","Block Group 2, Census Tract 1097, Los Angeles County, California","B19013_001",93214,38496
"060371097003","Block Group 3, Census Tract 1097, Los Angeles County, California","B19013_001",64750,52916
"060371098001","Block Group 1, Census Tract 1098, Los Angeles County, California","B19013_001",108558,39816
"060371098002","Block Group 2, Census Tract 1098, Los Angeles County, California","B19013_001",116161,60215
"060371098003","Block Group 3, Census Tract 1098, Los Angeles County, California","B19013_001",66736,29336
"060371098004","Block Group 4, Census Tract 1098, Los Angeles County, California","B19013_001",78661,46234
"060371111001","Block Group 1, Census Tract 1111, Los Angeles County, California","B19013_001",101250,26081
"060371111002","Block Group 2, Census Tract 1111, Los Angeles County, California","B19013_001",104716,13029
"060371112011","Block Group 1, Census Tract 1112.01, Los Angeles County, California","B19013_001",78500,77939
"060371112012","Block Group 2, Census Tract 1112.01, Los Angeles County, California","B19013_001",139625,82541
"060371112013","Block Group 3, Census Tract 1112.01, Los Angeles County, California","B19013_001",113512,59757
"060371112021","Block Group 1, Census Tract 1112.02, Los Angeles County, California","B19013_001",123438,46920
"060371112022","Block Group 2, Census Tract 1112.02, Los Angeles County, California","B19013_001",89750,51551
"060371112023","Block Group 3, Census Tract 1112.02, Los Angeles County, California","B19013_001",108625,36722
"060371112041","Block Group 1, Census Tract 1112.04, Los Angeles County, California","B19013_001",207344,47016
"060371112042","Block Group 2, Census Tract 1112.04, Los Angeles County, California","B19013_001",138261,27675
"060371112043","Block Group 3, Census Tract 1112.04, Los Angeles County, California","B19013_001",175652,33741
"060371112051","Block Group 1, Census Tract 1112.05, Los Angeles County, California","B19013_001",129545,42094
"060371112052","Block Group 2, Census Tract 1112.05, Los Angeles County, California","B19013_001",85093,34247
"060371112053","Block Group 3, Census Tract 1112.05, Los Angeles County, California","B19013_001",71447,11117
"060371112061","Block Group 1, Census Tract 1112.06, Los Angeles County, California","B19013_001",123750,60731
"060371112062","Block Group 2, Census Tract 1112.06, Los Angeles County, California","B19013_001",168051,66553
"060371112063","Block Group 3, Census Tract 1112.06, Los Angeles County, California","B19013_001",97071,48281
"060371112064","Block Group 4, Census Tract 1112.06, Los Angeles County, California","B19013_001",120852,30766
"060371112065","Block Group 5, Census Tract 1112.06, Los Angeles County, California","B19013_001",184479,45297
"060371113021","Block Group 1, Census Tract 1113.02, Los Angeles County, California","B19013_001",110250,43115
"060371113022","Block Group 2, Census Tract 1113.02, Los Angeles County, California","B19013_001",49943,17571
"060371113023","Block Group 3, Census Tract 1113.02, Los Angeles County, California","B19013_001",108884,39671
"060371113024","Block Group 4, Census Tract 1113.02, Los Angeles County, California","B19013_001",45682,37427
"060371113031","Block Group 1, Census Tract 1113.03, Los Angeles County, California","B19013_001",103351,28044
"060371113032","Block Group 2, Census Tract 1113.03, Los Angeles County, California","B19013_001",81993,74889
"060371113041","Block Group 1, Census Tract 1113.04, Los Angeles County, California","B19013_001",47933,20326
"060371113042","Block Group 2, Census Tract 1113.04, Los Angeles County, California","B19013_001",61250,9954
"060371114011","Block Group 1, Census Tract 1114.01, Los Angeles County, California","B19013_001",125852,23243
"060371114021","Block Group 1, Census Tract 1114.02, Los Angeles County, California","B19013_001",28925,15964
"060371114022","Block Group 2, Census Tract 1114.02, Los Angeles County, California","B19013_001",78922,31845
"060371114023","Block Group 3, Census Tract 1114.02, Los Angeles County, California","B19013_001",51458,4231
"060371131011","Block Group 1, Census Tract 1131.01, Los Angeles County, California","B19013_001",108648,35604
"060371131012","Block Group 2, Census Tract 1131.01, Los Angeles County, California","B19013_001",115489,15648
"060371131021","Block Group 1, Census Tract 1131.02, Los Angeles County, California","B19013_001",170000,115016
"060371131022","Block Group 2, Census Tract 1131.02, Los Angeles County, California","B19013_001",164583,12251
"060371132111","Block Group 1, Census Tract 1132.11, Los Angeles County, California","B19013_001",96409,14993
"060371132112","Block Group 2, Census Tract 1132.11, Los Angeles County, California","B19013_001",98411,15305
"060371132121","Block Group 1, Census Tract 1132.12, Los Angeles County, California","B19013_001",99917,49394
"060371132122","Block Group 2, Census Tract 1132.12, Los Angeles County, California","B19013_001",97727,47501
"060371132131","Block Group 1, Census Tract 1132.13, Los Angeles County, California","B19013_001",131719,36206
"060371132132","Block Group 2, Census Tract 1132.13, Los Angeles County, California","B19013_001",81136,29666
"060371132311","Block Group 1, Census Tract 1132.31, Los Angeles County, California","B19013_001",161400,60768
"060371132312","Block Group 2, Census Tract 1132.31, Los Angeles County, California","B19013_001",111107,15246
"060371132321","Block Group 1, Census Tract 1132.32, Los Angeles County, California","B19013_001",139314,29948
"060371132322","Block Group 2, Census Tract 1132.32, Los Angeles County, California","B19013_001",127244,61615
"060371132341","Block Group 1, Census Tract 1132.34, Los Angeles County, California","B19013_001",44583,12533
"060371132342","Block Group 2, Census Tract 1132.34, Los Angeles County, California","B19013_001",94351,31344
"060371132343","Block Group 3, Census Tract 1132.34, Los Angeles County, California","B19013_001",88304,84839
"060371132344","Block Group 4, Census Tract 1132.34, Los Angeles County, California","B19013_001",48194,34047
"060371132351","Block Group 1, Census Tract 1132.35, Los Angeles County, California","B19013_001",99375,34154
"060371132371","Block Group 1, Census Tract 1132.37, Los Angeles County, California","B19013_001",113125,37604
"060371132372","Block Group 2, Census Tract 1132.37, Los Angeles County, California","B19013_001",169659,139379
"060371132381","Block Group 1, Census Tract 1132.38, Los Angeles County, California","B19013_001",57014,40182
"060371132382","Block Group 2, Census Tract 1132.38, Los Angeles County, California","B19013_001",53214,12808
"060371132383","Block Group 3, Census Tract 1132.38, Los Angeles County, California","B19013_001",148958,118281
"060371132391","Block Group 1, Census Tract 1132.39, Los Angeles County, California","B19013_001",NA,NA
"060371132392","Block Group 2, Census Tract 1132.39, Los Angeles County, California","B19013_001",47629,28503
"060371133011","Block Group 1, Census Tract 1133.01, Los Angeles County, California","B19013_001",199643,87373
"060371133012","Block Group 2, Census Tract 1133.01, Los Angeles County, California","B19013_001",85619,17832
"060371133031","Block Group 1, Census Tract 1133.03, Los Angeles County, California","B19013_001",101397,12567
"060371133032","Block Group 2, Census Tract 1133.03, Los Angeles County, California","B19013_001",72419,56968
"060371133221","Block Group 1, Census Tract 1133.22, Los Angeles County, California","B19013_001",101328,26566
"060371133222","Block Group 2, Census Tract 1133.22, Los Angeles County, California","B19013_001",104063,8011
"060371133231","Block Group 1, Census Tract 1133.23, Los Angeles County, California","B19013_001",93688,48293
"060371133232","Block Group 2, Census Tract 1133.23, Los Angeles County, California","B19013_001",63238,17991
"060371133241","Block Group 1, Census Tract 1133.24, Los Angeles County, California","B19013_001",90989,3539
"060371134231","Block Group 1, Census Tract 1134.23, Los Angeles County, California","B19013_001",154167,24249
"060371134232","Block Group 2, Census Tract 1134.23, Los Angeles County, California","B19013_001",57692,36441
"060371134241","Block Group 1, Census Tract 1134.24, Los Angeles County, California","B19013_001",92535,46733
"060371134242","Block Group 2, Census Tract 1134.24, Los Angeles County, California","B19013_001",131500,39562
"060371134251","Block Group 1, Census Tract 1134.25, Los Angeles County, California","B19013_001",62500,15053
"060371134252","Block Group 2, Census Tract 1134.25, Los Angeles County, California","B19013_001",65475,12926
